расшифровка;whisper;имя файла;ошибка
а вот ну и или на стороне мы их заказываем особо так сказать надёжные и качественные и высокопроизводительные ну вот;Или на стороне мы их заказываем, особо надежные и качественные, и высокопроизводительные.;005cada7-4031-46b0-8714-d072127c99c3;"а вот ну и; так сказать; ну вот"
для меня самое главное было это ну просто с друганами с братками увидеться;Для меня самое главное было это... Ну, просто с друганами, с братками увидеться.;02d3f0ab-32ea-4589-8a53-72a2640db7e8;
у хасанова как было там он сначала полил яблоню на яблоне выросло много яблок потом огурцы много огурцов потом сам начал пить там ему стало лучше;У Хасанова как было там? Он сначала полил яблонью, на яблоне выросло много яблок, потом огурцы, много огурцов. Потом сам начал пить, ему стало лучше.;0a6bdff5-fbbc-4f61-b0e2-23f1b343ffeb;яблюнью, там
но она тётка такая то что она ест и толстая это не мешает ей быть мастером;Но она отсюда такая, то, что она ест толсто, это не мешает ей быть мастером.;0ad9c022-bd52-4d1e-ad37-f56036d409a5;"тётка; и; толстая"
блин а как они через кассу проводят они же должны будут выписывать там фискальный чек там должно быть написано маска ну как минимум да там или что-то хоть что-то должно быть написано равно двести рублей;Блин, а как они их через кассу проводят? Они же должны будут выписать там фискальный чек, там должно быть написано маска, ну, как минимум, да, там, или что-то, хоть что-то должно быть написано равно 200 рублей.;0e9b38c1-3342-4555-ab60-b5dad7cfb84f;выписать
доброе утро мои волшебники и волшебницы сегодня с нами произойдёт невероятно приятное чудо;Доброе утро, мои волшебники и волшебницы! Сегодня с нами произойдёт невероятно приятное чудо!;1190fb03-9a97-4c00-9a6f-5c09c39b6b2a;
может быть может быть стас я говорю я вот был ещё двенадцати не было ну да где-то так;может быть может быть стас я говорю я вот был еще 12 не было ну да и так;1325c5f5-33eb-485d-aba9-1bed091153a9;где-то
привет сколько стоит билет на самолёт из перми в чехословакию в тысяча девятьсот девяносто третьем году;Привет! Сколько стоит билет на самолет из Перми в Чехословакии в 1993 году?;178ce65a-c95c-49a3-b544-c6e3054e3dcd;Чехословакию
а сейчас мы с тобой проверим насколько этот бот хорошо переводит голосовое сообщение в текст ника хомячок;Сейчас мы с тобой проверим, насколько этот бот хорошо переводит голосовое сообщение в текст. Ника Хомячок.;1a3e62c2-7ff3-45fd-aea6-86fa0f6ac4d8;а
я из беседы поп груз ваша дочь попросила чтобы вы ей перезвонили так как сегодня она потратила всех бомжей на вас спасибо большое до свидания ха-ха;Я из беседы Пап Груз. Ваша дочь попросила, чтобы вы ей перезвонили, так как сегодня она потратила всех бомжей на вас. Спасибо большое. До свидания.;1bc38c53-994d-43c3-a91c-2d6130a29719;поп
