chudo;Tsch?ss.;
dopustimo;допустимо;+
edinstvennaya;≈динственна€.;+
eto (2);Ёто...;+
eto (3);Ёто страшно.;
eto (4);the;
eto;Ёто...;
glavnoe;главное;
intuitivnaya;интуитивно-трансформационную;
konkretnoy;конкретный;
nachinaetsya;начинаетс€ анализ.;
nalichiya;понимани€;
nalichiye;наличие;
napisano;написанном;
nazvaniye;название.;
nekotoriye;с которым мы с вами общаемс€.;
neveroyatno;Ќеверо€тно!;
novuyu;новое мое.;
obidnoe;обидно.;
oblivala;обливалась.;
ogromnoy;огромный взрыв.;
okutivala;окутывала и;
opredelenniye;определенные есть.;
opredelyonnoy;определенной;
otorvalas;оторвалось.;
otstutstviye;ods?ysze? tylko.;
pohoza;похож на...;
pokidala;кидала.;
pokoldyet;поколдует.;
pokrivala;покрывала;
pomozguet;помазгуют;
ponravilos;понравилось.;
ponyatno;пон€тно.;
posrivala;ѕосрывалась.;
pridumaet;придумают новое.;
priyatnoe;ѕри€тный.;
provodyat;провод€т.;
rasformirovannaya;расформированна€.;
raspredelyayut;распредел€ет.;
samoe;самое;
schastiya;—частье;
slovo;слово.;
srednyaya;—редн€€...;
staraya;стара€;
takaya;така€.;
uslishala;я слышал, блин.;
uvidetsa;”видимс€.;
verhushki;верхушки;
vpuskom;впуском.;
vzaimnoy;взаимные люди.;
zerkala;ѕродолжение следует.;
